STUDY_ID,TITLE,BIOME_MAP,CLIMATE,REALM,TAXA,Duration,CONTACT_1,CONTACT_2
10,Windstorm disturbance without patch dynamics twelve years of change in a Minnesota forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,13,Sara Webb,Sara Scanga
18,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,51,Luke Zachmann,NA
33,Long-term phytoplankton community dynamics in the Western English Channel,Temperate shelf and seas ecoregions,Temperate,Marine,Plants,18,Claire Widdicombe,NA
39,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,46,Richard Holmes,Tom Sherry
41,Time and space and the variation of species,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,18,Author now deceased,Queries at Ecology
46,Skokholm Bird Observatory,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,52,Mark Williamson,NA
51,Fluctuations and long-term in the relative densities of tetraonid populations in Finland. 1964-77,Boreal forests/taiga,Temperate,Terrestrial,Birds,14,Harto Linden,Global Population Dynamics Database
52,A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters,Boreal forests/taiga,Polar,Terrestrial,Mammals,13,Erkki Pulliainen,Global Population Dynamics Database
53,An 11-year study of small mammal populations at Mont St. Hilaire. Quebec,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,11,Peter Grant,Global Population Dynamics Database
54,El Verde Grid invertebrate data (Big Grid Snail Captures 1991-2007),Tropical and subtropical dry broadleaf forests,Tropical,Terrestrial,Invertebrates,33,Christopher Bloch,Michael Willig
58,Avian populations long-term monitoring dataset. San Juan. Puerto Rico Luquillo Long Term Ecological Research Site Database Grid points bird counts DBAS 23,Tropical and subtropical dry broadleaf forests,Tropical,Terrestrial,Birds,18,Robert Waide,E Melendez
59,Long-term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal. Arizona. USA,Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,26,Morgan Ernest,Thomas Valone
60,Forest Census Plot on Barro Colorado Island,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,34,Stephen Hubbell,Richard Condit
63,Monitoring butterfly numbersThe development of dragonfly communities and the consequences of territorial behaviour A 27-year study on small ponds at Woodwalton Fen. Cambridgeshire. United Kingdom,Small lake ecosystems,Temperate,Terrestrial,Invertebrates,27,Great Fen,Global Population Dynamics Database
87,Phytoplankton in the Oosterschelde before. during and after the storm-surge barrier (1982-1990),Temperate shelf and seas ecoregions,Temperate,Marine,Plants,9,Peter Herman,NA
150,Admiralty Bay Benthos Diversity Data Base (ABBED).,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,8,Jacek Sicinski,Bruno Danis
189,St. John. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),Tropical seas,Tropical,Marine,Fish,10,Kimberley Robertson,NA
190,St. Croix. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),Tropical seas,Tropical,Marine,Fish,10,Kimberley Robertson,NA
194,Spatial and temporal distribution and abundance of moths in the Andrews Experimental Forest. 1994 to 2004,Temperate coniferous forest,Temperate,Terrestrial,Invertebrates,11,Julia Jones,Jeffrey Miller
196,SOTEAG Rocky Shore Survey (Sullom Voe),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,37,Rebecca Kinnear,Jon Moore
201,Pasoh Forest Dynamics Plot. Malaysia - Smithsonian Tropical Research Institute,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,14,Christine Fletcher,Abd Rahman Kassim
202,Mudumalai Forest Dynamics Plot. India - Smithsonian Tropical Research Institute,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,13,R Sukuman,Sandeep Pulla
224,Experiment 133 - Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments - Shrub Survey,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,11,Peter Reich,NA
225,Point count bird censusing long-term monitoring of bird distrubution and diversity in central Arizona-Phoenix period 2000 to 2011,Deserts and xeric shrublands,Temperate,Terrestrial,Birds,12,Nancy Grimm,NA
226,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000,Deserts and xeric shrublands,Temperate,Terrestrial,Birds,3,Nancy Grimm,NA
230,Macrophyte count data collected from Northeast Shark Slough Everglades National Park (FCE) from September 2006 to Present,Flooded grasslands and savannas,Temperate,Marine,Plants,3,Evelyn?Gaiser,Evelyn Gaiser
231,"Consumer Stocks: Fish, Vegetation, and other Non-physical Data from Everglades National Park (FCE LTER), South Florida, USA from February 2000 to April 2005",Flooded grasslands and savannas,Temperate,Freshwater,Multiple,6,Joel Trexler,Florida Coastal Everglades LTER Program
233,HF044. Land Use on the Southern New England and New York Coasts 1600-2001,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,3,David Foster,NA
234,"Forest Inventory of a Northern Hardwood Forest: Watershed 6, Hubbard Brook Experimental Forest (Trees &gt;=10cm dbh, 1977-2017)",Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,41,"Information Manager, Hubbard Brook LTER",NA
235,Forest Inventory of a Northern Hardwood Forest Watershed 5,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,20,Information Manager at Hubbard Brook LTER,NA
236,Fish population on selected watersheds at Konza Prairie - CFP012 - Konza fish population,Small river ecosystems,Temperate,Freshwater,Fish,12,Keith B Gido,NA
237,Madison Wisconsin Lakes Zooplankton 1976 - 1994 - old net,Small lake ecosystems,Temperate,Freshwater,Invertebrates,19,Emily Stanley,NA
238,North Temperate Lakes LTER Zooplankton - Madison Lakes Area 1997 - current,Small lake ecosystems,Temperate,Freshwater,Invertebrates,20,Emily Stanley,NA
239,Pinon Juniper Net Primary Production Quadrat Data from the Sevilleta National Wildlife Refuge New Mexico 1999-2001,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,3,Douglas I. Moore,NA
240,Pinon-Juniper (Core Site) Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge New Mexico (2003-present ),Deserts and xeric shrublands,Temperate,Terrestrial,Plants,13,Sevilleta LTER Information Manager,NA
241,Sherman Forest Dynamics Plot Panama,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,14,Richard Condit,NA
242,Lac Croche understory vegetation data set (1998 to 2006),Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,9,Alain Paquette,NA
243,Long-term N-fertilized vegetation plots on Hog Island Virginia Coastal Barrier Islands 1992 to 2014,Temperate coniferous forest,Temperate,Terrestrial,Plants,23,Frank Day,NA
246,Long-term monitoring dataset of fish assemblages impinged at nuclear power plants in northern Taiwan,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,15,Kwang-Tsao Shao,NA
247,Zooplankton survey of Oneida Lake New York 1964 to present,Small lake ecosystems,Temperate,Freshwater,Invertebrates,46,Lars Rudstam,Kristen Holeck
248,Evidence for long-term shift in plant community composition under decadal experimental warming,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,13,Zheng Shi,NA
249,Resource specialists lead local insect community turnover associated with temperature - analysis of an 18-year full-seasonal record of moths and beetles,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,16,Peter Jorgensen,Philip Thomsen
253,North Temperate Lakes LTER Zooplankton - Trout Lake Area 1982 - current,Small lake ecosystems,Temperate,Freshwater,Invertebrates,40,NTL LTER Information Manager,NTL LTER Lead PI
254,North Temperate Lakes LTER: Phytoplankton - Madison Lakes Area 1995 - current,Small lake ecosystems,Temperate,Freshwater,Plants,26,John J. Magnuson,NTL LTER
255,Multi-decade. spatially explicit population studies of canopy dynamics in Michigan old-growth forests,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,15,Kerry D. Woods,NA
257,Madison Wisconsin Lakes Zooplankton 1976 - 1994 - new net,Small lake ecosystems,Temperate,Freshwater,Invertebrates,4,Emily Stanley,NA
270,Experimental evidence of reduced diversity of seedlings due to climate modification in a Mediterranean-type community.,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Plants,4,Francisco Lloret,NA
271,"Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Abundance and size of Giant Kelp (Macrocystis Pyrifera), ongoing since 2000",Temperate shelf and seas ecoregions,Temperate,Marine,Fish,15,Dan Reed,NA
272,Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Fish abundance,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,15,Dan Reed,NA
273,Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,15,Dan Reed,NA
274,"Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Cover of sessile organisms, Uniform Point Contact",Temperate shelf and seas ecoregions,Temperate,Marine,Multiple,15,Dan Reed,NA
275,Response of an urban remnant reptile community to summer wildfire,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Reptiles,6,Dr Rob A. Davis,Dr Tim S. Doherty
276,Eutrophication and Dreissena Invasion as Drivers of Biodiversity A Century of Change in the Mollusc Community of Oneida Lake,Small lake ecosystems,Temperate,Freshwater,Invertebrates,96,Vadim Karatayev,NA
294,Tam Dao Butterfly communities,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Invertebrates,11,Timothy C Bonebrake,Lie Van Vu
298,Long-term mapped quadrats from Kansas prairie demographic information for herbaceaous plants,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,70,Peter B Adler,NA
299,Elba Island Butterflies,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Invertebrates,101,Leonardo Dapporto,NA
300,Insect Populations via Sticky Traps at KBS-LTER (Kellogg Biological Station. MI),Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,25,Doug Landis,Stuart Gage
301,Konza Prarie grasshoppers -  CGR022,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Invertebrates,37,Ellen Welti,Anthony Joern
302,Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil),Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,10,Tiago Egydio Barreto,"Ricardo Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno"
303,The influence of environmental variables on tree species component dynamics in a montane forest fragment in Lages SC Brazil Influencia de variaveis ambientais na dinamica do componente arboreo em um fragmento de Floresta Ombrofila Mista em Lages SC,Tropical and subtropical moist broadleaf forests,Temperate/Tropical,Terrestrial,Plants,9,Pedro Higuchi,Ana Carolina da Silva
305,Population estimates of Appalachian salamanders. Coweeta LTER,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Amphibians,15,R Haven Wiley,NA
306,Edwin S. George Reserve Turtles. The Global Population Dynamics Database Version 2,Small lake ecosystems,Temperate,Freshwater,Reptiles,18,Barry Brook,NA
307,Kellogg LTER seed bank,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,10,Sven Bohm,Kay Gross
308,Long Term Mammal Data from Powdermill Biological Station 1979-1999,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,21,Joseph F Merritt,NA
311,Seasonal summary of numbers of small mammals on 14 LTER traplines in prairie habitats at Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Mammals,33,Donald W. Kaufman,NA
312,Stability in a Multi-Species Assemblage of Large Herbivores in East Africa,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Mammals,26,Herbert Henri Theodore Prins,NA
313,Successional Dynamics on a Resampled Chronosequence Core Old Field Grasshopper Sampling,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,18,Knops Johannes,Tilman David
314,Successional Dynamics on a Resampled Chronosequence Small mammal abundance,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,3,Knops Johannes,Tilman David
315,Jornada Grasshopper Data,Deserts and xeric shrublands,Temperate,Terrestrial,Invertebrates,3,John Anderson,David Lightfoor
316,Lizard pitfall trap data (LTER-II LTER-III),Deserts and xeric shrublands,Temperate,Terrestrial,Reptiles,18,John Anderson,David Lightfoot
317,Mangrove Forest Growth from the Shark River Slough Everglades National Park (FCE) South Florida from January 1995 to Present,Flooded grasslands and savannas,Temperate,Terrestrial,Plants,11,Robert ATwilley,Victor Rivera-Monroy
319,Effects of rangeland management on community dynamics of herpetofauna to the tallgrass prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Multiple,15,Dustin J. Wilgers,NA
321,Small Mammal Exclosure Study. Jornada LTER.  SMES rodent trapping data,Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,13,Robert Schooley,NA
322,Forest destructuring as revealed by the temporal dynamics of fundamental species - Case study of Santa Genebra Forest in Brazil,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,22,Fabiano Turini Farah,"Ricardo Rodrigues, Renato Augusto Ferreira de Lima and Thiago Almeida Bueno"
323,The Response of Anolis Lizards to Hurricane-Induced Habitat Changes in a Puerto Rican Rain Forest.,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Reptiles,4,Douglas Reagan,NA
324,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA
325,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA
326,Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil,"Tropical and subtropical grasslands, savannas and shrublands",Tropical,Terrestrial,Plants,5,Fabio Venturoli,NA
327,Fray Jorge Small Mammals 1989-2005,"Mediterranean forests, woodlands and scrubs",Temperate,Terrestrial,Mammals,17,Douglas A. Kelt,NA
328,The Rainbow Bay Long-term Study,Small river ecosystems,Temperate,Freshwater,Amphibians,30,David Scott,NA
329,Twenty years tree demography in an undisturbed Dipterocarp permanent sample plot at Uppangala Western Ghats of India,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,21,N. Ayyappan,NA
332,Stream Fish Assemblage stability in a southern Appalachian stream (Coweeta Hydro Lab 1984 - 1995),Small river ecosystems,Temperate,Freshwater,Fish,12,Gary D Grossman,NA
333,Weekly record of bird species observed on Konza Prairie,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,29,JMB,J Briggs
334,"Above ground plant biomass in a mesic acidic tussock tundra experimental site from 1982 to 2015 Arctic LTER, Toolik Lake, Alaska",Tundra,Polar,Terrestrial,Plants,19,Gaius Shaver,Arctic LTER Data Manager
335,Stochasticity in structural and functional characteristics of an Indiana stream fish assemblage  a test of community theory,Small river ecosystems,Temperate,Freshwater,Fish,13,Gary D Grossman,NA
336,Long term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal Arizona,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,14,Morgan Ernest,Tom Valone
337,Mountain Birdwatch,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,11,John D. Lloyd,Kent P. McFarland
