STUDY_ID,CENT_LAT,CENT_LONG,TITLE,BIOME_MAP,CLIMATE,REALM,TAXA,Duration,CONTACT_1,CONTACT_2,sites_n
10,47.4,-95.12,Windstorm disturbance without patch dynamics twelve years of change in a Minnesota forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,13,Sara Webb,Sara Scanga,1
18,44.33,-112.33,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,51,Luke Zachmann,NA,1
33,50.25,-4.217,Long-term phytoplankton community dynamics in the Western English Channel,Temperate shelf and seas ecoregions,Temperate,Marine,Plants,18,Claire Widdicombe,NA,1
39,43.91,-71.75,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,46,Richard Holmes,Tom Sherry,1
41,39.5,-82.48,Time and space and the variation of species,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,18,Author now deceased,Queries at Ecology,1
45,-17.5,-149,MCR LTER Coral Reef Long-term Population and Community Dynamics Fishes,Tropical seas,Tropical,Marine,Fish,14,Andrew Brooks,LTER contact,6
46,51.698,-5.277,Skokholm Bird Observatory,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,52,Mark Williamson,NA,1
47,50.845447,-107.446257,Detection of Density-Dependent Effects in Annual Duck Censuses,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Birds,26,William Vickery,Tom Nudds,2
51,61.9241,25.7482,Fluctuations and long-term in the relative densities of tetraonid populations in Finland. 1964-77,Boreal forests/Taiga,Temperate,Terrestrial,Birds,14,Harto Linden,Global Population Dynamics Database,1
52,67.75,29.5,A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters,Boreal forests/Taiga,Polar,Terrestrial,Mammals,13,Erkki Pulliainen,Global Population Dynamics Database,1
53,45.564,-73.179,An 11-year study of small mammal populations at Mont St. Hilaire. Quebec,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,11,Peter Grant,Global Population Dynamics Database,1
54,18.1667,-65.5,El Verde Grid invertebrate data (Big Grid Snail Captures 1991-2007),Tropical and subtropical dry broadleaf forests,Tropical,Terrestrial,Invertebrates,33,Christopher Bloch,Michael Willig,1
56,34.2,-106.43,Small Mammal Mark-Recapture Population Dynamics at Core Research Sites,Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,31,Seth Newsome,Mike Friggens,6
57,44.32424,-89.56503,North Temperate Lakes LTER Fish Abundance - Crayfish traps,Small Lake Ecosystems,Temperate,Freshwater,Fish,41,Emily Stanley,Corinna Gries,9
58,18.19,-65.43,Avian populations long-term monitoring dataset. San Juan. Puerto Rico Luquillo Long Term Ecological Research Site Database Grid points bird counts DBAS 23,Tropical and subtropical dry broadleaf forests,Tropical,Terrestrial,Birds,18,Robert Waide,E Melendez,1
59,30.3226,-103.501,Long-term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal. Arizona. USA,Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,26,Morgan Ernest,Thomas Valone,1
60,9.1521,-79.8465,Forest Census Plot on Barro Colorado Island,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,34,Stephen Hubbell,Richard Condit,1
63,52.4221,-0.18093,Monitoring butterfly numbersThe development of dragonfly communities and the consequences of territorial behaviour A 27-year study on small ponds at Woodwalton Fen. Cambridgeshire. United Kingdom,Small lake ecosystems,Temperate,Terrestrial,Invertebrates,27,Great Fen,Global Population Dynamics Database,1
67,-28.954467,24.950961,Animal Demography Unit - Coordinated Waterbird Counts (CWAC) (AfrOBIS),Deserts and xeric shrublands,Temperate,Terrestrial,Birds,24,Michael Brooks,NA,418
