STUDY_ID,TITLE,BIOME_MAP,CLIMATE,REALM,TAXA,Duration,CONTACT_1,CONTACT_2,LAT,LON
10,Windstorm disturbance without patch dynamics twelve years of change in a Minnesota forest,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,13,Sara Webb,Sara Scanga,47.399998958136194,-95.1200015681694
18,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,51,Luke Zachmann,NA,44.33000418624425,-112.32999985749545
33,Long-term phytoplankton community dynamics in the Western English Channel,Temperate shelf and seas ecoregions,Temperate,Marine,Plants,18,Claire Widdicombe,NA,50.24999879790999,-4.216999777406591
39,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,46,Richard Holmes,Tom Sherry,43.91000234267961,-71.75000627705161
41,Time and space and the variation of species,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,18,Author now deceased,Queries at Ecology,39.500001714433395,-82.48000142914977
46,Skokholm Bird Observatory,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Birds,52,Mark Williamson,NA,51.69800251249426,-5.277000027155241
51,Fluctuations and long-term in the relative densities of tetraonid populations in Finland. 1964-77,Boreal forests/taiga,Temperate,Terrestrial,Birds,14,Harto Linden,Global Population Dynamics Database,61.9241012940784,25.74820023337215
52,A transect survey of small land carnivore and red fox populations on a subarctic fell in Finnish forest Lapland over 13 winters,Boreal forests/taiga,Polar,Terrestrial,Mammals,13,Erkki Pulliainen,Global Population Dynamics Database,67.74999877599873,29.50000151322779
53,An 11-year study of small mammal populations at Mont St. Hilaire. Quebec,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Mammals,11,Peter Grant,Global Population Dynamics Database,45.564001085785165,-73.17899577639895
54,El Verde Grid invertebrate data (Big Grid Snail Captures 1991-2007),Tropical and subtropical dry broadleaf forests,Tropical,Terrestrial,Invertebrates,33,Christopher Bloch,Michael Willig,18.166704083426342,-65.49999913065376
58,Avian populations long-term monitoring dataset. San Juan. Puerto Rico Luquillo Long Term Ecological Research Site Database Grid points bird counts DBAS 23,Tropical and subtropical dry broadleaf forests,Tropical,Terrestrial,Birds,18,Robert Waide,E Melendez,18.189998625031205,-65.42999699778267
59,Long-term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal. Arizona. USA,Deserts and xeric shrublands,Temperate,Terrestrial,Mammals,26,Morgan Ernest,Thomas Valone,30.322603023669373,-103.50100462552733
60,Forest Census Plot on Barro Colorado Island,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,34,Stephen Hubbell,Richard Condit,9.152098954841,-79.84649745127764
63,Monitoring butterfly numbersThe development of dragonfly communities and the consequences of territorial behaviour A 27-year study on small ponds at Woodwalton Fen. Cambridgeshire. United Kingdom,Small lake ecosystems,Temperate,Terrestrial,Invertebrates,27,Great Fen,Global Population Dynamics Database,52.422099800941176,-0.18093001403458614
87,Phytoplankton in the Oosterschelde before. during and after the storm-surge barrier (1982-1990),Temperate shelf and seas ecoregions,Temperate,Marine,Plants,9,Peter Herman,NA,51.549250680391054,3.912051252929001
150,Admiralty Bay Benthos Diversity Data Base (ABBED).,Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,8,Jacek Sicinski,Bruno Danis,-62.155020150816256,-58.478948620344866
189,St. John. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),Tropical seas,Tropical,Marine,Fish,10,Kimberley Robertson,NA,18.308752930792693,-64.74877700888207
190,St. Croix. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA),Tropical seas,Tropical,Marine,Fish,10,Kimberley Robertson,NA,17.75696894629943,-64.60425582828678
194,Spatial and temporal distribution and abundance of moths in the Andrews Experimental Forest. 1994 to 2004,Temperate coniferous forest,Temperate,Terrestrial,Invertebrates,11,Julia Jones,Jeffrey Miller,44.24400217160738,-122.15800237957139
196,SOTEAG Rocky Shore Survey (Sullom Voe),Temperate shelf and seas ecoregions,Temperate,Marine,Invertebrates,37,Rebecca Kinnear,Jon Moore,60.46645080610482,-1.3228780095469228
201,Pasoh Forest Dynamics Plot. Malaysia - Smithsonian Tropical Research Institute,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,14,Christine Fletcher,Abd Rahman Kassim,2.9819999952456246,102.31299702067723
202,Mudumalai Forest Dynamics Plot. India - Smithsonian Tropical Research Institute,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,13,R Sukuman,Sandeep Pulla,11.598902154316525,76.53379703117565
224,Experiment 133 - Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments - Shrub Survey,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,11,Peter Reich,NA,45.39999691672869,-93.19999500770899
225,Point count bird censusing long-term monitoring of bird distrubution and diversity in central Arizona-Phoenix period 2000 to 2011,Deserts and xeric shrublands,Temperate,Terrestrial,Birds,12,Nancy Grimm,NA,33.429997175176744,-111.93000156346842
226,Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000,Deserts and xeric shrublands,Temperate,Terrestrial,Birds,3,Nancy Grimm,NA,33.429997175176744,-111.93000156346842
230,Macrophyte count data collected from Northeast Shark Slough Everglades National Park (FCE) from September 2006 to Present,Flooded grasslands and savannas,Temperate,Marine,Plants,3,Evelyn?Gaiser,Evelyn Gaiser,25.67170261610759,-80.59308274225539
231,"Consumer Stocks: Fish, Vegetation, and other Non-physical Data from Everglades National Park (FCE LTER), South Florida, USA from February 2000 to April 2005",Flooded grasslands and savannas,Temperate,Freshwater,Multiple,6,Joel Trexler,Florida Coastal Everglades LTER Program,25.335057595950296,-80.77719951667916
233,HF044. Land Use on the Southern New England and New York Coasts 1600-2001,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,3,David Foster,NA,42.529998133497976,-72.18999999056226
234,"Forest Inventory of a Northern Hardwood Forest: Watershed 6, Hubbard Brook Experimental Forest (Trees &gt;=10cm dbh, 1977-2017)",Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,41,"Information Manager, Hubbard Brook LTER",NA,43.95346007168739,-71.73956058323105
235,Forest Inventory of a Northern Hardwood Forest Watershed 5,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,20,Information Manager at Hubbard Brook LTER,NA,43.953054152886104,-71.73530961842827
236,Fish population on selected watersheds at Konza Prairie - CFP012 - Konza fish population,Small river ecosystems,Temperate,Freshwater,Fish,12,Keith B Gido,NA,39.09310201042211,-96.55859694802956
237,Madison Wisconsin Lakes Zooplankton 1976 - 1994 - old net,Small lake ecosystems,Temperate,Freshwater,Invertebrates,19,Emily Stanley,NA,43.02517043979491,-89.32537776587054
238,North Temperate Lakes LTER Zooplankton - Madison Lakes Area 1997 - current,Small lake ecosystems,Temperate,Freshwater,Invertebrates,20,Emily Stanley,NA,43.07160196677717,-89.39710178968359
239,Pinon Juniper Net Primary Production Quadrat Data from the Sevilleta National Wildlife Refuge New Mexico 1999-2001,Deserts and xeric shrublands,Temperate,Terrestrial,Plants,3,Douglas I. Moore,NA,34.350002989822706,-106.88000484237568
240,Pinon-Juniper (Core Site) Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge New Mexico (2003-present ),Deserts and xeric shrublands,Temperate,Terrestrial,Plants,13,Sevilleta LTER Information Manager,NA,34.350002989822706,-106.88000484237568
241,Sherman Forest Dynamics Plot Panama,Tropical and subtropical moist broadleaf forests,Tropical,Terrestrial,Plants,14,Richard Condit,NA,9.363595752615684,-79.95470050789504
242,Lac Croche understory vegetation data set (1998 to 2006),Temperate broadleaf and mixed forests,Temperate,Terrestrial,Plants,9,Alain Paquette,NA,45.99327836365564,-74.0015711835875
243,Long-term N-fertilized vegetation plots on Hog Island Virginia Coastal Barrier Islands 1992 to 2014,Temperate coniferous forest,Temperate,Terrestrial,Plants,23,Frank Day,NA,37.44663332114483,-75.66746167967116
246,Long-term monitoring dataset of fish assemblages impinged at nuclear power plants in northern Taiwan,Temperate shelf and seas ecoregions,Temperate,Marine,Fish,15,Kwang-Tsao Shao,NA,25.24430938976731,121.62430842979032
247,Zooplankton survey of Oneida Lake New York 1964 to present,Small lake ecosystems,Temperate,Freshwater,Invertebrates,46,Lars Rudstam,Kristen Holeck,43.19661697745084,-75.91981337075121
248,Evidence for long-term shift in plant community composition under decadal experimental warming,"Temperate grasslands, savannas and shrublands",Temperate,Terrestrial,Plants,13,Zheng Shi,NA,43.83333740016771,-102.16667033060428
249,Resource specialists lead local insect community turnover associated with temperature - analysis of an 18-year full-seasonal record of moths and beetles,Temperate broadleaf and mixed forests,Temperate,Terrestrial,Invertebrates,16,Peter Jorgensen,Philip Thomsen,55.70251522478405,12.558951786938838
