"","STUDY_ID","LATITUDE","LONGITUDE"
"1",2.1,"-19.2610716","-43.5317489"
"2",2.1,"-19.2500096","-43.5392675"
"3",2.1,"-19.257012","-43.542697"
"4",2.1,"-19.267181","-43.5466601"
"5",2.1,"-19.2486611","-43.5469279"
"6",2.1,"-19.2602853","-43.5532567"
"7",2.1,"-19.2595484","-43.5537674"
"8",2.1,"-19.26036","-43.5547117"
"9",2.1,"-19.2889849","-43.560636"
"10",2.1,"-19.2887451","-43.5611615"
"11",2.1,"-19.2906968","-43.5669298"
"12",2.1,"-19.2906803","-43.5682812"
"13",2.1,"-19.279815","-43.582686"
"14",2.1,"-19.2902138","-43.5931205"
"15",2.1,"-19.2921549","-43.5952736"
"16",2.1,"-19.3007368","-43.6009576"
"17",2.2,"78.25004","30.00212"
"18",2.2,"78.25015","30.00227"
"19",2.2,"74.49999","29.99977"
"20",2.2,"78.25142","29.99809"
"21",2.2,"77.03305","29.33449"
"22",2.2,"74.50018","29.99978"
"23",2.2,"80.10758","30.03939"
"24",2.2,"81.27498","29.26483"
"25",2.2,"81.27642","29.24559"
"26",2.2,"81.27892","29.23538"
"27",2.2,"81.28249","29.23142"
"28",2.2,"76.5003","30.50174"
"29",2.2,"81.28124","29.32828"
"30",2.2,"81.28133","29.32941"
"31",2.2,"80.11618","30.06817"
"32",2.2,"76.4994","30.50113"
"33",2.2,"74.4999","29.99755"
"34",2.2,"76.49993","30.50174"
"35",2.2,"81.28136","29.32802"
"36",2.2,"80.1162","30.06719"
"37",2.2,"80.11634","30.06881"
"38",2.2,"80.11642","30.06969"
"39",2.2,"76.49917","30.49924"
"40",2.2,"76.50033","30.5009"
"41",2.2,"76.49925","30.50065"
"42",2.2,"80.11071","30.03578"
"43",2.2,"80.11099","30.07918"
"44",2.2,"78.24998","30.00209"
"45",2.2,"78.25161","29.99843"
"46",2.2,"81.28105","29.32781"
"47",2.2,"74.50003","30.00036"
"48",2.2,"76.50011","30.50173"
"49",2.2,"80.11678","30.06457"
"50",2.2,"78.25026","30.00207"
"51",2.2,"74.50019","30.00041"
"52",2.2,"78.25149","29.99928"
"53",2.2,"78.25151","30.00001"
"54",2.2,"76.49923","30.49987"
"55",2.2,"77.03279","29.33267"
"56",2.2,"77.03288","29.33338"
"57",2.2,"77.0329","29.33407"
"58",2.2,"74.50008","29.99748"
"59",2.2,"74.5001","29.99813"
"60",2.2,"74.50028","29.99748"
"61",2.3,"53.40315833","-0.82972222"
"62",2.4,"53.40315833","-0.82972222"
"63",2.5,"46.742365","10.699572"
"64",2.5,"46.743549","10.70131"
"65",2.5,"46.711499","10.647516"
"66",2.6,"60.03017","20.03283"
"67",2.6,"60.09067","19.96933"
"68",2.6,"60.14733","20.081"
"69",2.6,"60.18317","20.05933"
"70",2.6,"60.21467","20.08117"
"71",2.6,"60.21833","19.48367"
"72",2.6,"60.23233","19.80183"
"73",2.6,"60.236","20.03333"
"74",2.6,"60.23967","20.453"
"75",2.6,"60.27067","20.02733"
"76",2.6,"60.27933","19.97983"
"77",2.6,"60.296","19.80333"
"78",2.6,"60.31146","19.80726"
"79",2.6,"60.34417","19.74167"
"80",2.6,"60.36217","19.68217"
"81",2.6,"60.40283","19.75583"
"82",2.7,"53.35","13.69"
"83",2.8,"43.0876388549805","25.0738048553467"
"84",2.9,"42.86511","27.89948"
"85",2.9,"43.42185","28.5275"
"86",2.9,"42.4589042663574","27.6285285949707"
"87",2.9,"42.69876","27.83902"
"88",2.1,"42.35754","27.70975"
"89",2.1,"42.32925","27.72422"
"90",2.1,"42.56327","27.47427"
"91",2.11,"44.10764","27.07529"
"92",2.12,"57.85","25"
"93",2.12,"57.866667","24.983333"
"94",2.12,"57.9","25"
