"","REALM","CENT_LAT","CENT_LONG","BIOME_MAP","CLIMATE","TAXA","TITLE","CONTACT_1","CONTACT_2","START_YEAR","END_YEAR","NUMBER_OF_SPECIES","DURATION","STUDY_ID"
"1","Freshwater",-19.27457,-43.56238,"Tropical and subtropical grasslands, savannas and shrublands","Tropical","Amphibians","Dynamic and diverse amphibian assemblages: Can we differentiate natural processes from human induced changes?","Nathália G. S. Lima","Paula C. Eterovick",1998,2016,34,19,2.1
"2","Terrestrial",-29.757,-53.85933,"Tropical and subtropical grasslands, savannas and shrublands","Temperate/Tropical","Amphibians","Ground-dwelling anuran (Amphibia) in the Pampa biome, southern Brazil","Tiago Gomes dos Santos","Sonia Zanini Cechin",1996,1998,16,3,2.2
"3","Marine",77.97979,29.81509,"Temperate Shelf and seas ecoregions","Temperate","Benthos","ChAOS_Macrofauna_Abundance_Biomass","Martin Solan",,2017,2018,156,2,2.3
"4","Terrestrial",53.40316,-0.8297222,"Temperate broadleaf and mixed forests","Temperate","Terrestrial Invertebrates","Slug Numbers – Beckingham 1999 – 2002 (years 1&2)","Chris du Feu",,1999,2001,16,3,2.4
"5","Terrestrial",53.40316,-0.8297222,"Temperate broadleaf and mixed forests","Temperate","Terrestrial Invertebrates","Slug Numbers – Beckingham 1999 – 2002 (year 3)","Chris du Feu",,2001,2002,12,2,2.5
"6","Freshwater",46.732471,10.68279933,"Large river headwater ecosystems","Temperate","Invertebrates","Abundances of stream benthic macroinvertebrates during a 6-year monitoring period of a glacier-fed stream in South Tyrol, Italy","Alberto Scotti",,2010,2015,42,6,2.6
"7","Marine",60.222,19.94423,"Temperate Shelf and seas ecoregions","Temperate","Benthos","Data from: Maintained functional diversity in benthic communities in spite of diverging functional identities","Benjamin Weigel","Erik Bonsdorff",1973,2013,24,41,2.7
"8","Terrestrial",53.35,13.69,"Temperate broadleaf and mixed forests","Temperate","Birds","Farmland bird monitoring in North-east Germany (from 1999-2002 & from 2013-2015)","Michael Glemnitz",,1999,2015,143,17,2.8
"9","Freshwater",43.0876388549805,25.0738048553467,"Small Lake Ecosystems","Temperate","Birds","Bulgaria Wintering Waterbirds, Aleksandar Stamboliyski Reservoir","Vesela Evtimova","Boris Nikolov, Radoslav Stnachev",1981,2017,26,37,2.9
"10","Marine",42.91528809,28.01850286,"Temperate Shelf and seas ecoregions","Temperate","Birds","Bulgaria Wintering Waterbirds, Black Sea Coast","Vesela Evtimova","Boris Nikolov, Radoslav Stnachev",1976,2017,62,42,2.1
"11","Brackish/ marine",42.41668667,27.63608,"Small Lake Ecosystems","Temperate","Birds","Bulgaria Wintering Waterbirds, Lake Complexes","Vesela Evtimova","Boris Nikolov, Radoslav Stnachev",1976,2017,76,42,2.11
"12","Freshwater",44.10764,27.07529,"Lake ecosystem","Temperate","Birds","Bulgaria Wintering Waterbirds, Srebarna Lake","Vesela Evtimova","Boris Nikolov, Radoslav Stnachev",1977,2017,33,41,2.12
"13","Terrestrial",57.87222,24.99444,"Temperate Coniferous Forest","Temperate","Invertebrates",,"Tara Dirilgena","Tancredi Caruso",1992,2002,64,11,2.13
"14","Freshwater",-22.55705,-52.27197,"Tropical and subtropical moist broadleaf forests","Tropical","Amphibians","Anurans of a seasonally dry tropical forest: Morro do Diabo State Park, Sao Paulo state, Brazil (Adults)","Tiago Gomes dos Santos",,2005,2007,23,3,2.14
"15","Freshwater",-22.5368,-52.2632,"Tropical and subtropical moist broadleaf forests","Tropical","Amphibians","Anurans of a seasonally dry tropical forest: Morro do Diabo State Park, Sao Paulo state, Brazil (Adults) II","Tiago da Silveira Vasconcelos",,2005,2007,24,3,2.15
"16","Freshwater",-22.55705,-52.27197,"Tropical and subtropical moist broadleaf forests","Tropical","Amphibians","Anurans of a seasonally dry tropical forest: Morro do Diabo State Park, Sao Paulo state, Brazil (Tadpoles)","Tiago Gomes dos Santos",,2005,2007,14,3,2.16
"17","Freshwater",-22.5368,-52.2632,"Tropical and subtropical moist broadleaf forests","Tropical","Amphibians","Anurans of a seasonally dry tropical forest: Morro do Diabo State Park, Sao Paulo state, Brazil (Tadpoles) II","Tiago da Silveira Vasconcelos",,2005,2007,20,3,2.17
"18","Terrestrial",-0.819049,-52.75265,"Tropical and subtropical moist broadleaf forests","Tropical","Terrestrial Invertebrates","Dung beetles from the Jari River Basin","Wallace Beiroz","Julio Louzada",2009,2013,75,5,2.18
"19","Terrestrial",18.47778,-95.15556,"Tropical and subtropical moist broadleaf forests","Tropical","Terrestrial Invertebrates","Spatial and temporal changes in the dung beetle diversity of a protected, but fragmented, landscape of the northernmost Neotropical rainforest","Mario Enrique Favila Castillo","Renato Portela Salomão",1999,2017,42,19,2.19
"20","Terrestrial",33.42735,-1.849862,"Mediterranean Forests, woodlands and scrubs","Temperate","Terrestrial Invertebrates","Spatial and temporal variations of aridity shape dung beetle assemblages towards the Sahara desert","Indradatta deCastro-Arrazola",,2013,2014,63,2,2.2
